Sample;Pillar;Pillar type;datafiles;h, um;dh, um;d top, um;dd top, um;d bottom, um;dd bottom, um;Taper angle theta, deg;
0001Zn;P1;meca;2024-03-26_14-33-36_12_0.txt, 2024-03-26_14-39-27_13_0_Aborted.txt, 2024-03-26_14-43-59_14_0_Aborted.txt, 2024-03-26_14-49-17_15_0_Aborted.txt, 2024-03-26_14-53-52_16_0_Aborted.txt, 2024-03-26_14-58-39_17_0_Aborted.txt, 2024-03-26_15-03-51_18_0_Aborted, 2024-03-26_15-09-51_19_0_Aborted.txt, 2024-03-26_15-15-39_20_0_Aborted.txt, 2024-03-26_15-21-34_21_0_Aborted.txt, 2024-03-26_15-29-54_22_0_Aborted.txt, 2024-03-26_15-37-40_23_0_Aborted.txt, 2024-03-26_15-51-45_24_0_Aborted.txt, 2024-03-26_15-59-02_25_0_Aborted.txt, 2024-03-26_16-11-40_26_0_Aborted.txt, 2024-03-26_16-22-24_27_0_Aborted.txt, 2024-03-26_16-30-13_28_0_Aborted.txt;2.6135430;0.2766460;0.6302500;0.0490000;1.0588000;0.0065000;4.6869922;
0001Zn;P2;meca;2024-03-26_17-27-25_31_0.txt;1.7728184;0.0691615;0.6170000;0.0380000;1.0062500;0.0020000;6.2650032;
0001Zn;P3;meca;2024-03-26_18-06-30_34_0.txt;1.8634263;0.0920038;0.6167500;0.0395000;1.0130000;0.0100000;6.0690559;
0001Zn;P4;MET;2024-03-27_10-12-02_39_0.txt;1.9164713;0.0907348;0.5975000;0.0435000;1.1260000;0.0000000;7.8506473;
0001Zn;P5;MET;2024-03-27_10-37-34_41_0_Aborted.txt, 2024-03-27_10-42-35_42_0.txt, 2024-03-27_10-52-33_43_0_Aborted.txt, 2024-03-27_11-02-10_44_0_Aborted.txt, 2024-03-27_11-11-25_45_0_Aborted.txt, 2024-03-27_11-21-31_46_0_Aborted.txt;1.7596207;0.1224603;0.5823333;0.0515000;1.0990000;0.0000000;8.3520400;
10-10;P1;meca;2024-03-27_13-53-30_1_0_Aborted.txt, 2024-03-27_14-01-08_2_0.txt, 2024-03-27_14-12-35_3_0.txt, 2024-03-27_14-28-30_4_0_Aborted.txt, 2024-03-27_14-35-46_5_0.txt, 2024-03-27_14-52-04_6_0_Aborted.txt, 2024-03-27_14-59-47_7_0_Aborted.txt;1.8045439;0.0907348;0.5515000;0.0185000;0.9970000;0.0055000;7.0369025;
10-10;P2;MET;2024-03-27_17-28-42_21_0_Aborted.txt;1.6700280;0.1459371;0.5710000;0.0590000;1.0790000;0.0010000;8.6480253;
10-10;P3;MET;2024-03-27_16-51-17_17_0_Aborted.txt, 2024-03-27_17-00-13_18_0_Aborted.txt;1.9205322;0.0774101;0.6000000;0.0410000;1.0980000;0.0020000;7.3872792;
10-10;P4;meca;2024-03-27_15-27-31_10_0_Aborted.txt;1.7195197;0.0812172;0.4745000;0.0315000;0.9360000;0.0040000;7.6431145;
10-10;P5;meca;2024-03-27_15-51-09_12_0_Aborted.txt;1.9377908;0.0393396;0.6260000;0.0310000;1.0645000;0.0045000;6.4552388;
10-10;P6;meca;2024-03-27_16-19-57_14_0.txt;1.9809374;0.1129426;0.6200000;0.0430000;1.0595000;0.0035000;6.3300729;
11-20;P1;meca;2024-03-28_10-26-00_1_0.txt, 2024-03-28_10-33-46_2_0.txt, 2024-03-28_10-41-44_3_0_Aborted.txt, 2024-03-28_10-48-03_4_0_Aborted.txt, 2024-03-28_10-55-28_5_0_Aborted.txt, 2024-03-28_11-02-03_6_0_Aborted.txt, 2024-03-28_11-14-16_7_0_Aborted.txt;2.0653271;0.0907348;0.6620000;0.0300000;1.0585000;0.0005000;5.4830020;
11-20;P2;meca;2024-03-28_11-42-01_10_0.txt;2.0735758;0.0945419;0.6670000;0.0340000;1.0565000;0.0005000;5.3654739;
11-20;P3;meca;2024-03-28_12-53-39_12_0_Aborted.txt;2.0269393;0.1085011;0.6090000;0.0650000;1.0575000;0.0085000;6.3132317;
11-20;P4;meca;2024-03-28_13-24-55_17_0_Aborted.txt;2.0418503;0.1015215;0.6225000;0.0775000;1.0595000;0.0065000;6.1080220;
0001O;P1;meca;2024-03-28_17-13-02_20_0_Aborted.txt;1.9489582;0.1700484;0.6750000;0.0260000;1.0595000;0.0055000;5.6335708;
0001O;P2;meca;2024-03-28_16-40-50_16_0_Aborted.txt;2.0190080;0.0869277;0.6345000;0.0455000;1.0535000;0.0025000;5.9240290;
0001O;P3;meca;2024-03-28_16-17-32_13_0_Aborted.txt;1.9602101;0.0901003;0.6125000;0.0575000;1.0590000;0.0080000;6.4974684;
0001O;P4;meca;2024-03-28_14-51-51_2_0_Aborted.txt, 2024-03-28_14-57-27_3_0_Aborted.txt, 2024-03-28_15-03-33_4_0_Aborted.txt, 2024-03-28_15-09-18_5_0_Aborted.txt, 2024-03-28_15-16-08_6_0_Aborted.txt, 2024-03-28_15-23-08_7_0_Aborted.txt, 2024-03-28_15-33-12_8_0_Aborted.txt, 2024-03-28_15-40-22_9_0_Aborted.txt, 2024-03-28_15-49-18_10_0_Aborted.txt, 2024-03-28_15-57-58_11_0_Aborted.txt, 2024-03-28_16-12-07_12_0_Aborted.txt;2.0037798;0.0723340;0.5995000;0.0585000;1.0560000;0.0110000;6.4985360;
