orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, 0, -1, 2.969744897959184]	basal	1	a	2	0 0 0 1	-1 -1 2 0	20.0	107.2	-0.27839641461378684	3.2494	1070.4	0.001	0.278	0.0264	0.000025
[1, 0, -1, 2.969744897959184]	basal	1	a	3	0 0 0 1	-2 1 1 0	20.0	107.2	-0.27839641461378684	3.2494	1070.4	0.001	0.278	0.0264	0.000025
[1, 0, -1, 2.969744897959184]	basal	1	b	1	0 0 0 1	-1 0 1 0	20.0	110.0	-0.3214644898639111	5.6281258941143095	1385.3	0.001	0.321	0.0101	0.000007
[1, 0, -1, 2.969744897959184]	basal	1	b	2	0 0 0 1	0 -1 1 0	20.0	99.8	-0.16073224493195554	5.6281258941143095	1385.3	0.001	0.161	0.0051	0.000004
[1, 0, -1, 2.969744897959184]	basal	1	b	3	0 0 0 1	-1 1 0 0	20.0	99.8	-0.16073224493195554	5.6281258941143095	1385.3	0.001	0.161	0.0051	0.000004
[1, 0, -1, 2.969744897959184]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	20.0	110.0	-0.3214644898639111	1.87604196470477	N/A	N/A	0.321	0.0913	N/A
[1, 0, -1, 2.969744897959184]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	20.0	99.8	-0.16073224493195554	1.87604196470477	N/A	N/A	0.161	0.0457	N/A
[1, 0, -1, 2.969744897959184]	basal	1	p_{part}	3	0 0 0 1	-1 1 0 0	20.0	99.8	-0.16073224493195554	1.87604196470477	N/A	N/A	0.161	0.0457	N/A
[1, 0, -1, 2.969744897959184]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	110.0	20.0	-0.3214644898639111	5.2054	2121.8	0.001	0.321	0.0119	0.000006
[1, 0, -1, 2.969744897959184]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	110.0	63.7	-0.15142142479885978	11.050954366026494	N/A	N/A	0.151	0.0012	N/A
