orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, -2, 1, 0.6801346801346804]	basal	1	a	1	0 0 0 1	-1 2 -1 0	70.0	160.0	-0.3208603289918499	3.2494	1070.4	0.001	0.321	0.0304	0.000028
[1, -2, 1, 0.6801346801346804]	basal	1	a	2	0 0 0 1	-1 -1 2 0	70.0	62.0	0.16043016451299327	3.2494	1070.4	0.001	0.160	0.0152	0.000014
[1, -2, 1, 0.6801346801346804]	basal	1	a	3	0 0 0 1	-2 1 1 0	70.0	118.0	-0.16043016451299327	3.2494	1070.4	0.001	0.160	0.0152	0.000014
[1, -2, 1, 0.6801346801346804]	basal	1	b	2	0 0 0 1	0 -1 1 0	70.0	35.5	0.2778731959787509	5.6281258941143095	1385.3	0.001	0.278	0.0088	0.000006
[1, -2, 1, 0.6801346801346804]	basal	1	b	3	0 0 0 1	-1 1 0 0	70.0	144.5	-0.2778731959787509	5.6281258941143095	1385.3	0.001	0.278	0.0088	0.000006
[1, -2, 1, 0.6801346801346804]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	70.0	35.5	0.2778731959787509	1.87604196470477	N/A	N/A	0.278	0.0790	N/A
[1, -2, 1, 0.6801346801346804]	basal	1	p_{part}	3	0 0 0 1	-1 1 0 0	70.0	144.5	-0.2778731959787509	1.87604196470477	N/A	N/A	0.278	0.0790	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	35.5	118.0	-0.38255339770489494	3.2494	1147.7	0.001	0.383	0.0362	0.000032
[1, -2, 1, 0.6801346801346804]	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	35.5	70.0	0.2778731959787509	5.2054	2121.8	0.001	0.278	0.0103	0.000005
[1, -2, 1, 0.6801346801346804]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	35.5	104.7	-0.20656730821354335	11.050954366026494	N/A	N/A	0.207	0.0017	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	35.5	125.1	-0.46834399944352834	11.050954366026494	N/A	N/A	0.468	0.0038	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	35.5	87.7	0.033142198381778044	6.1363498531293015	N/A	N/A	0.033	0.0009	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	35.5	122.6	-0.4382915266333238	6.1363498531293015	N/A	N/A	0.438	0.0116	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	3	a	2	-1 1 0 0	-1 -1 2 0	144.5	62.0	-0.38255339770489494	3.2494	1147.7	0.001	0.383	0.0362	0.000032
[1, -2, 1, 0.6801346801346804]	prismatic_m	3	c	1	-1 1 0 0	0 0 0 1	144.5	70.0	-0.2778731959787509	5.2054	2121.8	0.001	0.278	0.0103	0.000005
[1, -2, 1, 0.6801346801346804]	prismatic_m	3	\frac{a}{3}+c	3	-1 1 0 0	-1 -1 2 1	144.5	54.9	-0.46834399944352834	11.050954366026494	N/A	N/A	0.468	0.0038	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	3	\frac{a}{3}+c	4	-1 1 0 0	-1 -1 2 -1	144.5	75.3	-0.20656730821354335	11.050954366026494	N/A	N/A	0.207	0.0017	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	3	a+c	3	-1 1 0 0	-1 -1 2 3	144.5	57.4	-0.4382915266333238	6.1363498531293015	N/A	N/A	0.438	0.0116	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_m	3	a+c	4	-1 1 0 0	-1 -1 2 -3	144.5	92.3	0.033142198381778044	6.1363498531293015	N/A	N/A	0.033	0.0009	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	c	1	-1 2 -1 0	0 0 0 1	160.0	70.0	-0.3208603289918499	5.2054	2302.8	0.001	0.321	0.0118	0.000005
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	b+c	1	-1 2 -1 0	-1 0 1 1	160.0	76.6	-0.21786372930049364	7.666289209258936	N/A	N/A	0.218	0.0037	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	b+c	2	-1 2 -1 0	-1 0 1 -1	160.0	103.4	0.21786372930049364	7.666289209258936	N/A	N/A	0.218	0.0037	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	\frac{b+c}{2}_{part}	1	-1 2 -1 0	-1 0 1 1	160.0	76.6	-0.21786372930049364	3.833144604629468	N/A	N/A	0.218	0.0148	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	\frac{b+c}{2}_{part}	2	-1 2 -1 0	-1 0 1 -1	160.0	103.4	0.21786372930049364	3.833144604629468	N/A	N/A	0.218	0.0148	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	\frac{b}{2}+c	1	-1 2 -1 0	-1 0 1 2	160.0	72.5	-0.28225536279280794	11.834718320264324	N/A	N/A	0.282	0.0020	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	\frac{b}{2}+c	2	-1 2 -1 0	-1 0 1 -2	160.0	107.5	0.28225536279280794	11.834718320264324	N/A	N/A	0.282	0.0020	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	3 0 -3 2	3	-1 2 -1 0	3 0 -3 2	160.0	79.7	-0.16840151316135468	19.836001773542975	N/A	N/A	0.168	0.0004	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	1	3 0 -3 2	4	-1 2 -1 0	3 0 -3 -2	160.0	100.3	0.16840151316135468	19.836001773542975	N/A	N/A	0.168	0.0004	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	2	b	3	-1 -1 2 0	-1 1 0 0	62.0	144.5	-0.38255339770489494	5.6281258941143095	2307.7	0.001	0.383	0.0121	0.000005
[1, -2, 1, 0.6801346801346804]	prismatic_a	2	c	1	-1 -1 2 0	0 0 0 1	62.0	70.0	0.16043016451299327	5.2054	2302.8	0.001	0.160	0.0059	0.000003
[1, -2, 1, 0.6801346801346804]	prismatic_a	2	b+c	5	-1 -1 2 0	-1 1 0 1	62.0	111.5	-0.17191570381218882	7.666289209258936	N/A	N/A	0.172	0.0029	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	2	b+c	6	-1 -1 2 0	-1 1 0 -1	62.0	146.0	-0.38977943308886465	7.666289209258936	N/A	N/A	0.390	0.0066	N/A
[1, -2, 1, 0.6801346801346804]	prismatic_a	2	\frac{b+c}{2}_{part}	5	-1 -1 2 0	-1 1 0 1	62.0	111.5	-0.17191570381218882	3.833144604629468	N/A	N/A	0.172	0.0117	N/A
