orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	165.2	104.8	0.2475318342545561	3.2494	1147.7	0.001	0.248	0.0234	0.000020
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	165.2	103.1	0.218351261471134	11.050954366026494	N/A	N/A	0.218	0.0018	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	165.2	103.1	0.218351261471134	11.050954366026494	N/A	N/A	0.218	0.0018	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	165.2	97.8	0.13107628504701818	6.1363498531293015	N/A	N/A	0.131	0.0035	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	165.2	97.8	0.13107628504701818	6.1363498531293015	N/A	N/A	0.131	0.0035	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	105.2	164.8	0.25246006983811475	3.2494	1147.7	0.001	0.252	0.0239	0.000021
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	105.2	148.4	0.22269852641158577	11.050954366026494	N/A	N/A	0.223	0.0018	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	105.2	148.4	0.22269852641158577	11.050954366026494	N/A	N/A	0.223	0.0018	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	105.2	120.7	0.13368594857198138	6.1363498531293015	N/A	N/A	0.134	0.0036	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	105.2	120.7	0.13368594857198138	6.1363498531293015	N/A	N/A	0.134	0.0036	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	3	a	2	-1 1 0 0	-1 -1 2 0	134.8	135.2	0.4999919041023783	3.2494	1147.7	0.001	0.500	0.0474	0.000041
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	3	\frac{a}{3}+c	3	-1 1 0 0	-1 -1 2 1	134.8	128.7	0.4410497878769702	11.050954366026494	N/A	N/A	0.441	0.0036	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	3	\frac{a}{3}+c	4	-1 1 0 0	-1 -1 2 -1	134.8	128.7	0.4410497878769702	11.050954366026494	N/A	N/A	0.441	0.0036	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	3	a+c	3	-1 1 0 0	-1 -1 2 3	134.8	112.1	0.264762233605541	6.1363498531293015	N/A	N/A	0.265	0.0070	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_m	3	a+c	4	-1 1 0 0	-1 -1 2 -3	134.8	112.1	0.264762233605541	6.1363498531293015	N/A	N/A	0.265	0.0070	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	104.8	165.2	0.2475318342545561	5.6281258941143095	2307.7	0.001	0.248	0.0078	0.000003
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_a	1	b+c	1	-1 2 -1 0	-1 0 1 1	104.8	135.2	0.18172290243170075	7.666289209258936	N/A	N/A	0.182	0.0031	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_a	1	b+c	2	-1 2 -1 0	-1 0 1 -1	104.8	135.2	0.18172290243170075	7.666289209258936	N/A	N/A	0.182	0.0031	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_a	1	\frac{b+c}{2}_{part}	1	-1 2 -1 0	-1 0 1 1	104.8	135.2	0.18172290243170075	3.833144604629468	N/A	N/A	0.182	0.0124	N/A
[1, -0.26530612244897944, -0.7346938775510206, 0]	prismatic_a	1	\frac{b+c}{2}_{part}	2	-1 2 -1 0	-1 0 1 -1	104.8	135.2	0.18172290243170075	3.833144604629468	N/A	N/A	0.182	0.0124	N/A
