orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
1 0 -1 0	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	120.0	150.0	0.4330127019	3.2494	1147.7	0.001	0.433	0.0410	0.000036
1 0 -1 0	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	120.0	139.8	0.3819665054	11.050954366026494	N/A	N/A	0.382	0.0031	N/A
1 0 -1 0	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	120.0	139.8	0.3819665054	11.050954366026494	N/A	N/A	0.382	0.0031	N/A
1 0 -1 0	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	120.0	117.3	0.22929453295	6.1363498531293015	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	120.0	117.3	0.22929453295	6.1363498531293015	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_m	3	a	2	-1 1 0 0	-1 -1 2 0	120.0	150.0	0.4330127019	3.2494	1147.7	0.001	0.433	0.0410	0.000036
1 0 -1 0	prismatic_m	3	\frac{a}{3}+c	3	-1 1 0 0	-1 -1 2 1	120.0	139.8	0.3819665054	11.050954366026494	N/A	N/A	0.382	0.0031	N/A
1 0 -1 0	prismatic_m	3	\frac{a}{3}+c	4	-1 1 0 0	-1 -1 2 -1	120.0	139.8	0.3819665054	11.050954366026494	N/A	N/A	0.382	0.0031	N/A
1 0 -1 0	prismatic_m	3	a+c	3	-1 1 0 0	-1 -1 2 3	120.0	117.3	0.22929453295	6.1363498531293015	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_m	3	a+c	4	-1 1 0 0	-1 -1 2 -3	120.0	117.3	0.22929453295	6.1363498531293015	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_a	2	b	3	-1 -1 2 0	-1 1 0 0	150.0	120.0	0.4330127019	5.6281258941143095	2307.7	0.001	0.433	0.0137	0.000006
1 0 -1 0	prismatic_a	2	b+c	5	-1 -1 2 0	-1 1 0 1	150.0	111.5	0.31789173790619196	7.666289209258936	N/A	N/A	0.318	0.0054	N/A
1 0 -1 0	prismatic_a	2	b+c	6	-1 -1 2 0	-1 1 0 -1	150.0	111.5	0.31789173790619196	7.666289209258936	N/A	N/A	0.318	0.0054	N/A
1 0 -1 0	prismatic_a	2	\frac{b+c}{2}_{part}	5	-1 -1 2 0	-1 1 0 1	150.0	111.5	0.31789173790619196	3.833144604629468	N/A	N/A	0.318	0.0216	N/A
1 0 -1 0	prismatic_a	2	\frac{b+c}{2}_{part}	6	-1 -1 2 0	-1 1 0 -1	150.0	111.5	0.31789173790619196	3.833144604629468	N/A	N/A	0.318	0.0216	N/A
1 0 -1 0	prismatic_a	2	\frac{b}{2}+c	5	-1 -1 2 0	-1 1 0 2	150.0	103.8	0.2059237857791452	11.834718320264324	N/A	N/A	0.206	0.0015	N/A
1 0 -1 0	prismatic_a	2	\frac{b}{2}+c	6	-1 -1 2 0	-1 1 0 -2	150.0	103.8	0.2059237857791452	11.834718320264324	N/A	N/A	0.206	0.0015	N/A
1 0 -1 0	prismatic_a	2	3 0 -3 2	1	-1 -1 2 0	3 -3 0 2	150.0	64.8	-0.3685798218341724	19.836001773542975	N/A	N/A	0.369	0.0009	N/A
1 0 -1 0	prismatic_a	2	3 0 -3 2	2	-1 -1 2 0	3 -3 0 -2	150.0	64.8	-0.3685798218341724	19.836001773542975	N/A	N/A	0.369	0.0009	N/A
1 0 -1 0	prismatic_a	3	b	2	-2 1 1 0	0 -1 1 0	150.0	120.0	0.4330127019	5.6281258941143095	2307.7	0.001	0.433	0.0137	0.000006
1 0 -1 0	prismatic_a	3	b+c	3	-2 1 1 0	0 -1 1 1	150.0	111.5	0.31789173790619196	7.666289209258936	N/A	N/A	0.318	0.0054	N/A
