orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[0, 0, 0, 1]	pyramidalIV	1	a+c	2	-1 2 -1 2	-1 2 -1 -3	58.0	148.0	-0.449197219709271	6.1363498531293015	1380.2	0.6	0.449	0.0119	0.000009
[0, 0, 0, 1]	pyramidalIV	1	a+c_{part}	2	-1 2 -1 2	-1 2 -1 -3	58.0	148.0	-0.449197219709271	3.0681749265646507	N/A	N/A	0.449	0.0477	N/A
[0, 0, 0, 1]	pyramidalIV	2	a+c	1	-1 2 -1 -2	-1 2 -1 3	122.0	32.0	-0.449197219709271	6.1363498531293015	1380.2	0.6	0.449	0.0119	0.000009
[0, 0, 0, 1]	pyramidalIV	2	a+c_{part}	1	-1 2 -1 -2	-1 2 -1 3	122.0	32.0	-0.449197219709271	3.0681749265646507	N/A	N/A	0.449	0.0477	N/A
[0, 0, 0, 1]	pyramidalIV	3	a+c	4	-1 -1 2 2	-1 -1 2 -3	58.0	148.0	-0.449197219709271	6.1363498531293015	1380.2	0.6	0.449	0.0119	0.000009
[0, 0, 0, 1]	pyramidalIV	3	a+c_{part}	4	-1 -1 2 2	-1 -1 2 -3	58.0	148.0	-0.449197219709271	3.0681749265646507	N/A	N/A	0.449	0.0477	N/A
[0, 0, 0, 1]	pyramidalIV	4	a+c	3	-1 -1 2 -2	-1 -1 2 3	122.0	32.0	-0.449197219709271	6.1363498531293015	1380.2	0.6	0.449	0.0119	0.000009
[0, 0, 0, 1]	pyramidalIV	4	a+c_{part}	3	-1 -1 2 -2	-1 -1 2 3	122.0	32.0	-0.449197219709271	3.0681749265646507	N/A	N/A	0.449	0.0477	N/A
[0, 0, 0, 1]	pyramidalIV	5	a+c	6	-2 1 1 2	-2 1 1 -3	58.0	148.0	-0.449197219709271	6.1363498531293015	1380.2	0.6	0.449	0.0119	0.000009
[0, 0, 0, 1]	pyramidalIV	5	a+c_{part}	6	-2 1 1 2	-2 1 1 -3	58.0	148.0	-0.449197219709271	3.0681749265646507	N/A	N/A	0.449	0.0477	N/A
[0, 0, 0, 1]	pyramidalIV	6	a+c	5	-2 1 1 -2	-2 1 1 3	122.0	32.0	-0.449197219709271	6.1363498531293015	1380.2	0.6	0.449	0.0119	0.000009
[0, 0, 0, 1]	pyramidalIV	6	a+c_{part}	5	-2 1 1 -2	-2 1 1 3	122.0	32.0	-0.449197219709271	3.0681749265646507	N/A	N/A	0.449	0.0477	N/A
[0, 0, 0, 1]	pyramidalIII	1	\frac{a}{3}+c	4	-1 0 1 3	-1 -1 2 -1	31.7	118.1	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	1	\frac{a}{3}+c	6	-1 0 1 3	-2 1 1 -1	31.7	118.1	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	1	3 0 -3 2	3	-1 0 1 3	3 0 -3 2	31.7	58.3	0.44674621816641746	19.836001773542975	N/A	N/A	0.447	0.0011	N/A
[0, 0, 0, 1]	pyramidalIII	1	5 -1 -4 3	1	-1 0 1 3	4 1 -5 3	31.7	58.8	0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	1	5 -1 -4 3	7	-1 0 1 3	5 -1 -4 3	31.7	58.8	0.44087005264110135	10.050193614055402	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	2	\frac{a}{3}+c	3	-1 0 1 -3	-1 -1 2 1	148.3	61.9	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	2	\frac{a}{3}+c	5	-1 0 1 -3	-2 1 1 1	148.3	61.9	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	2	3 0 -3 2	4	-1 0 1 -3	3 0 -3 -2	148.3	121.7	0.44674621816641746	19.836001773542975	N/A	N/A	0.447	0.0011	N/A
[0, 0, 0, 1]	pyramidalIII	2	5 -1 -4 3	2	-1 0 1 -3	4 1 -5 -3	148.3	121.2	0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	2	5 -1 -4 3	8	-1 0 1 -3	5 -1 -4 -3	148.3	121.2	0.44087005264110135	10.050193614055402	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	3	\frac{a}{3}+c	1	0 -1 1 3	-1 2 -1 1	31.7	61.9	0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	3	\frac{a}{3}+c	4	0 -1 1 3	-1 -1 2 -1	31.7	118.1	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	3	3 0 -3 2	5	0 -1 1 3	0 3 -3 2	31.7	58.3	0.44674621816641746	19.836001773542975	N/A	N/A	0.447	0.0011	N/A
[0, 0, 0, 1]	pyramidalIII	3	5 -1 -4 3	4	0 -1 1 3	-1 -4 5 -3	31.7	121.2	-0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	3	5 -1 -4 3	6	0 -1 1 3	1 -5 4 -3	31.7	121.2	-0.44087005264110135	10.050193614055402	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	4	\frac{a}{3}+c	2	0 -1 1 -3	-1 2 -1 -1	148.3	118.1	0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	4	\frac{a}{3}+c	3	0 -1 1 -3	-1 -1 2 1	148.3	61.9	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	4	3 0 -3 2	6	0 -1 1 -3	0 3 -3 -2	148.3	121.7	0.44674621816641746	19.836001773542975	N/A	N/A	0.447	0.0011	N/A
[0, 0, 0, 1]	pyramidalIII	4	5 -1 -4 3	3	0 -1 1 -3	-1 -4 5 3	148.3	58.8	-0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	4	5 -1 -4 3	5	0 -1 1 -3	1 -5 4 3	148.3	58.8	-0.44087005264110135	10.050193614055402	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	5	\frac{a}{3}+c	2	-1 1 0 3	-1 2 -1 -1	31.7	118.1	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	5	\frac{a}{3}+c	6	-1 1 0 3	-2 1 1 -1	31.7	118.1	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	5	3 0 -3 2	1	-1 1 0 3	3 -3 0 2	31.7	58.3	0.44674621816641746	19.836001773542975	N/A	N/A	0.447	0.0011	N/A
[0, 0, 0, 1]	pyramidalIII	5	5 -1 -4 3	9	-1 1 0 3	4 -5 1 3	31.7	58.8	0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	5	5 -1 -4 3	11	-1 1 0 3	5 -4 -1 3	31.7	58.8	0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	6	\frac{a}{3}+c	1	-1 1 0 -3	-1 2 -1 1	148.3	61.9	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	6	\frac{a}{3}+c	5	-1 1 0 -3	-2 1 1 1	148.3	61.9	-0.40094540621184216	11.050954366026494	N/A	N/A	0.401	0.0033	N/A
[0, 0, 0, 1]	pyramidalIII	6	3 0 -3 2	2	-1 1 0 -3	3 -3 0 -2	148.3	121.7	0.44674621816641746	19.836001773542975	N/A	N/A	0.447	0.0011	N/A
[0, 0, 0, 1]	pyramidalIII	6	5 -1 -4 3	10	-1 1 0 -3	4 -5 1 -3	148.3	121.2	0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalIII	6	5 -1 -4 3	12	-1 1 0 -3	5 -4 -1 -3	148.3	121.2	0.44087005264110135	10.050193614055404	N/A	N/A	0.441	0.0044	N/A
[0, 0, 0, 1]	pyramidalII	1	b+c	2	-1 0 1 2	-1 0 1 -1	42.8	132.8	-0.49847974193801303	7.666289209258936	2655.2	0.001	0.498	0.0085	0.000003
[0, 0, 0, 1]	pyramidalII	1	5 -1 -4 3	4	-1 0 1 2	-1 -4 5 -3	42.8	121.2	-0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
[0, 0, 0, 1]	pyramidalII	1	5 -1 -4 3	11	-1 0 1 2	5 -4 -1 3	42.8	58.8	0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
[0, 0, 0, 1]	pyramidalII	2	b+c	1	-1 0 1 -2	-1 0 1 1	137.2	47.2	-0.49847974193801303	7.666289209258936	2655.2	0.001	0.498	0.0085	0.000003
[0, 0, 0, 1]	pyramidalII	2	5 -1 -4 3	3	-1 0 1 -2	-1 -4 5 3	137.2	58.8	-0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
[0, 0, 0, 1]	pyramidalII	2	5 -1 -4 3	12	-1 0 1 -2	5 -4 -1 -3	137.2	121.2	0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
[0, 0, 0, 1]	pyramidalII	3	b+c	4	0 -1 1 2	0 -1 1 -1	42.8	132.8	-0.49847974193801303	7.666289209258936	2655.2	0.001	0.498	0.0085	0.000003
[0, 0, 0, 1]	pyramidalII	3	5 -1 -4 3	1	0 -1 1 2	4 1 -5 3	42.8	58.8	0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
[0, 0, 0, 1]	pyramidalII	3	5 -1 -4 3	10	0 -1 1 2	4 -5 1 -3	42.8	121.2	-0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
[0, 0, 0, 1]	pyramidalII	4	b+c	3	0 -1 1 -2	0 -1 1 1	137.2	47.2	-0.49847974193801303	7.666289209258936	2655.2	0.001	0.498	0.0085	0.000003
[0, 0, 0, 1]	pyramidalII	4	5 -1 -4 3	2	0 -1 1 -2	4 1 -5 -3	137.2	121.2	0.3802404225792466	10.050193614055404	N/A	N/A	0.380	0.0038	N/A
