orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, 0, -1, 1.0809]	basal	1	a	2	0 0 0 1	-1 -1 2 0	45.0	127.8	-0.433012684198611	3.2494	1070.4	0.001	0.433	0.0410	0.000038
[1, 0, -1, 1.0809]	basal	1	a	3	0 0 0 1	-2 1 1 0	45.0	127.8	-0.433012684198611	3.2494	1070.4	0.001	0.433	0.0410	0.000038
[1, 0, -1, 1.0809]	basal	1	b	1	0 0 0 1	-1 0 1 0	45.0	135.0	-0.49999997961701376	5.6281258941143095	1385.3	0.001	0.500	0.0158	0.000011
[1, 0, -1, 1.0809]	basal	1	b	2	0 0 0 1	0 -1 1 0	45.0	110.7	-0.24999998980850688	5.6281258941143095	1385.3	0.001	0.250	0.0079	0.000006
[1, 0, -1, 1.0809]	basal	1	b	3	0 0 0 1	-1 1 0 0	45.0	110.7	-0.24999998980850688	5.6281258941143095	1385.3	0.001	0.250	0.0079	0.000006
[1, 0, -1, 1.0809]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	45.0	135.0	-0.49999997961701376	1.87604196470477	N/A	N/A	0.500	0.1421	N/A
[1, 0, -1, 1.0809]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	45.0	110.7	-0.24999998980850688	1.87604196470477	N/A	N/A	0.250	0.0710	N/A
[1, 0, -1, 1.0809]	basal	1	p_{part}	3	0 0 0 1	-1 1 0 0	45.0	110.7	-0.24999998980850688	1.87604196470477	N/A	N/A	0.250	0.0710	N/A
[1, 0, -1, 1.0809]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	135.0	45.0	-0.49999997961701376	5.2054	2121.8	0.001	0.500	0.0185	0.000009
[1, 0, -1, 1.0809]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	135.0	70.5	-0.23551811066796655	11.050954366026494	N/A	N/A	0.236	0.0019	N/A
[1, 0, -1, 1.0809]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	135.0	109.5	0.23551811066796655	11.050954366026494	N/A	N/A	0.236	0.0019	N/A
[1, 0, -1, 1.0809]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	135.0	53.1	-0.424144639045569	6.1363498531293015	N/A	N/A	0.424	0.0113	N/A
[1, 0, -1, 1.0809]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	135.0	126.9	0.424144639045569	6.1363498531293015	N/A	N/A	0.424	0.0113	N/A
[1, 0, -1, 1.0809]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	110.7	127.8	0.21656825714838546	3.2494	1147.7	0.001	0.217	0.0205	0.000018
[1, 0, -1, 1.0809]	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	110.7	45.0	-0.24999998980850688	5.2054	2121.8	0.001	0.250	0.0092	0.000004
[1, 0, -1, 1.0809]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	110.7	102.0	0.0732788056889849	11.050954366026494	N/A	N/A	0.073	0.0006	N/A
[1, 0, -1, 1.0809]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	110.7	150.8	0.3087969163923118	11.050954366026494	N/A	N/A	0.309	0.0025	N/A
[1, 0, -1, 1.0809]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	110.7	74.0	-0.09739227167475399	6.1363498531293015	N/A	N/A	0.097	0.0026	N/A
[1, 0, -1, 1.0809]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	110.7	157.5	0.3267523674061754	6.1363498531293015	N/A	N/A	0.327	0.0087	N/A
[1, 0, -1, 1.0809]	prismatic_m	3	a	2	-1 1 0 0	-1 -1 2 0	110.7	127.8	0.21656825714838546	3.2494	1147.7	0.001	0.217	0.0205	0.000018
[1, 0, -1, 1.0809]	prismatic_m	3	c	1	-1 1 0 0	0 0 0 1	110.7	45.0	-0.24999998980850688	5.2054	2121.8	0.001	0.250	0.0092	0.000004
[1, 0, -1, 1.0809]	prismatic_m	3	\frac{a}{3}+c	3	-1 1 0 0	-1 -1 2 1	110.7	102.0	0.0732788056889849	11.050954366026494	N/A	N/A	0.073	0.0006	N/A
[1, 0, -1, 1.0809]	prismatic_m	3	\frac{a}{3}+c	4	-1 1 0 0	-1 -1 2 -1	110.7	150.8	0.3087969163923118	11.050954366026494	N/A	N/A	0.309	0.0025	N/A
[1, 0, -1, 1.0809]	prismatic_m	3	a+c	3	-1 1 0 0	-1 -1 2 3	110.7	74.0	-0.09739227167475399	6.1363498531293015	N/A	N/A	0.097	0.0026	N/A
[1, 0, -1, 1.0809]	prismatic_m	3	a+c	4	-1 1 0 0	-1 -1 2 -3	110.7	157.5	0.3267523674061754	6.1363498531293015	N/A	N/A	0.327	0.0087	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	b	3	-1 -1 2 0	-1 1 0 0	127.8	110.7	0.21656825714838546	5.6281258941143095	2307.7	0.001	0.217	0.0068	0.000003
[1, 0, -1, 1.0809]	prismatic_a	2	c	1	-1 -1 2 0	0 0 0 1	127.8	45.0	-0.433012684198611	5.2054	2302.8	0.001	0.433	0.0160	0.000007
[1, 0, -1, 1.0809]	prismatic_a	2	b+c	5	-1 -1 2 0	-1 1 0 1	127.8	77.3	-0.13502370990245388	7.666289209258936	N/A	N/A	0.135	0.0023	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	b+c	6	-1 -1 2 0	-1 1 0 -1	127.8	137.7	0.4530063434117445	7.666289209258936	N/A	N/A	0.453	0.0077	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	\frac{b+c}{2}_{part}	5	-1 -1 2 0	-1 1 0 1	127.8	77.3	-0.13502370990245388	3.833144604629468	N/A	N/A	0.135	0.0092	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	\frac{b+c}{2}_{part}	6	-1 -1 2 0	-1 1 0 -1	127.8	137.7	0.4530063434117445	3.833144604629468	N/A	N/A	0.453	0.0308	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	\frac{b}{2}+c	5	-1 -1 2 0	-1 1 0 2	127.8	63.0	-0.2779225451607696	11.834718320264324	N/A	N/A	0.278	0.0020	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	\frac{b}{2}+c	6	-1 -1 2 0	-1 1 0 -2	127.8	142.2	0.48390521118973107	11.834718320264324	N/A	N/A	0.484	0.0035	N/A
[1, 0, -1, 1.0809]	prismatic_a	2	3 0 -3 2	1	-1 -1 2 0	3 -3 0 2	127.8	47.8	-0.4116065724177918	19.836001773542975	N/A	N/A	0.412	0.0010	N/A
