orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
0 0 0 1	pyramidalIV	1	a+c	1	1 1 -2 2	-1 -1 2 3	58.0	32.0	0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
0 0 0 1	pyramidalIV	2	a+c	2	1 1 -2 -2	-1 -1 2 -3	122.0	148.0	0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
0 0 0 1	pyramidalIV	3	a+c	3	1 -2 1 2	-1 2 -1 3	58.0	32.0	0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
0 0 0 1	pyramidalIV	4	a+c	4	1 -2 1 -2	-1 2 -1 -3	122.0	148.0	0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
0 0 0 1	pyramidalIV	5	a+c	5	-2 1 1 2	2 -1 -1 3	58.0	32.0	0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
0 0 0 1	pyramidalIV	6	a+c	6	-2 1 1 -2	2 -1 -1 -3	122.0	148.0	0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
0 0 0 1	pyramidalIII	1	a/3+c	2	-1 0 1 3	-1 -1 2 -1	31.6	118.1	-0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	1	a/3+c	5	-1 0 1 3	2 -1 -1 1	31.6	61.9	0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	1	3 0 -3 2	3	-1 0 1 3	3 0 -3 2	31.6	58.4	0.4465007452667893	19.832990193110064	N/A	N/A	0.447	0.0011	N/A
0 0 0 1	pyramidalIII	1	5 -1 -4 3	3	-1 0 1 3	5 -1 -4 3	31.6	58.8	0.44062393279837586	10.048756141931198	N/A	N/A	0.441	0.0044	N/A
0 0 0 1	pyramidalIII	1	5 -1 -4 3	12	-1 0 1 3	-4 -1 5 -3	31.6	121.2	-0.44062393279837586	10.048756141931198	N/A	N/A	0.441	0.0044	N/A
0 0 0 1	pyramidalIII	2	a/3+c	1	-1 0 1 -3	-1 -1 2 1	148.4	61.9	-0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	2	a/3+c	6	-1 0 1 -3	2 -1 -1 -1	148.4	118.1	0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	2	3 0 -3 2	4	-1 0 1 -3	3 0 -3 -2	148.4	121.6	0.4465007452667893	19.832990193110064	N/A	N/A	0.447	0.0011	N/A
0 0 0 1	pyramidalIII	2	5 -1 -4 3	4	-1 0 1 -3	5 -1 -4 -3	148.4	121.2	0.44062393279837586	10.048756141931198	N/A	N/A	0.441	0.0044	N/A
0 0 0 1	pyramidalIII	2	5 -1 -4 3	11	-1 0 1 -3	-4 -1 5 3	148.4	58.8	-0.44062393279837586	10.048756141931198	N/A	N/A	0.441	0.0044	N/A
0 0 0 1	pyramidalIII	3	a/3+c	2	0 -1 1 3	-1 -1 2 -1	31.6	118.1	-0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	3	a/3+c	3	0 -1 1 3	-1 2 -1 1	31.6	61.9	0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	3	3 0 -3 2	5	0 -1 1 3	0 3 -3 2	31.6	58.4	0.4465007452667893	19.832990193110064	N/A	N/A	0.447	0.0011	N/A
0 0 0 1	pyramidalIII	3	5 -1 -4 3	2	0 -1 1 3	-1 -4 5 -3	31.6	121.2	-0.44062393279837586	10.048756141931198	N/A	N/A	0.441	0.0044	N/A
0 0 0 1	pyramidalIII	3	5 -1 -4 3	9	0 -1 1 3	-1 5 -4 3	31.6	58.8	0.44062393279837586	10.048756141931198	N/A	N/A	0.441	0.0044	N/A
0 0 0 1	pyramidalIII	4	a/3+c	1	0 -1 1 -3	-1 -1 2 1	148.4	61.9	-0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	4	a/3+c	4	0 -1 1 -3	-1 2 -1 -1	148.4	118.1	0.4006988643344205	11.049999999999999	N/A	N/A	0.401	0.0033	N/A
0 0 0 1	pyramidalIII	4	3 0 -3 2	6	0 -1 1 -3	0 3 -3 -2	148.4	121.6	0.4465007452667893	19.832990193110064	N/A	N/A	0.447	0.0011	N/A
