orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
1 1 -2 0	prismatic_m	1	a	2	-1 0 1 0	-1 2 -1 0	150.0	60.0	-0.4330127019	3.25	1147.7	0.001	0.433	0.0410	0.000036
1 1 -2 0	prismatic_m	1	a+c	3	-1 0 1 0	-1 2 -1 3	150.0	74.6	-0.229496273013536	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 1 -2 0	prismatic_m	1	a+c	4	-1 0 1 0	-1 2 -1 -3	150.0	74.6	-0.229496273013536	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 1 -2 0	prismatic_m	2	a	3	0 -1 1 0	2 -1 -1 0	150.0	60.0	-0.4330127019	3.25	1147.7	0.001	0.433	0.0410	0.000036
1 1 -2 0	prismatic_m	2	a+c	5	0 -1 1 0	2 -1 -1 3	150.0	74.6	-0.229496273013536	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 1 -2 0	prismatic_m	2	a+c	6	0 -1 1 0	2 -1 -1 -3	150.0	74.6	-0.229496273013536	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 1 -2 0	prismatic_a	2	b	1	1 -2 1 0	-1 0 1 0	120.0	150.0	0.4330127019	5.629165124598851	2307.7	0.001	0.433	0.0137	0.000006
1 1 -2 0	prismatic_a	2	b+c	1	1 -2 1 0	-1 0 1 1	120.0	129.5	0.31807084865	7.663386979658537	N/A	N/A	0.318	0.0054	N/A
1 1 -2 0	prismatic_a	2	b+c	2	1 -2 1 0	-1 0 1 -1	120.0	129.5	0.31807084865	7.663386979658537	N/A	N/A	0.318	0.0054	N/A
1 1 -2 0	prismatic_a	2	b/2+c	1	1 -2 1 0	-1 0 1 2	120.0	114.3	0.2061186412	11.825713509129164	N/A	N/A	0.206	0.0015	N/A
1 1 -2 0	prismatic_a	2	b/2+c	2	1 -2 1 0	-1 0 1 -2	120.0	114.3	0.2061186412	11.825713509129164	N/A	N/A	0.206	0.0015	N/A
1 1 -2 0	prismatic_a	2	3 0 -3 2	3	1 -2 1 0	3 0 -3 2	120.0	42.5	-0.368703858	19.832990193110064	N/A	N/A	0.369	0.0009	N/A
1 1 -2 0	prismatic_a	2	3 0 -3 2	4	1 -2 1 0	3 0 -3 -2	120.0	42.5	-0.368703858	19.832990193110064	N/A	N/A	0.369	0.0009	N/A
1 1 -2 0	prismatic_a	3	b	2	-2 1 1 0	0 -1 1 0	120.0	150.0	0.4330127019	5.629165124598851	2307.7	0.001	0.433	0.0137	0.000006
1 1 -2 0	prismatic_a	3	b+c	3	-2 1 1 0	0 -1 1 1	120.0	129.5	0.31807084865	7.663386979658537	N/A	N/A	0.318	0.0054	N/A
1 1 -2 0	prismatic_a	3	b+c	4	-2 1 1 0	0 -1 1 -1	120.0	129.5	0.31807084865	7.663386979658537	N/A	N/A	0.318	0.0054	N/A
1 1 -2 0	prismatic_a	3	b/2+c	3	-2 1 1 0	0 -1 1 2	120.0	114.3	0.2061186412	11.825713509129164	N/A	N/A	0.206	0.0015	N/A
1 1 -2 0	prismatic_a	3	b/2+c	4	-2 1 1 0	0 -1 1 -2	120.0	114.3	0.2061186412	11.825713509129164	N/A	N/A	0.206	0.0015	N/A
1 1 -2 0	prismatic_a	3	3 0 -3 2	5	-2 1 1 0	0 3 -3 2	120.0	42.5	-0.368703858	19.832990193110064	N/A	N/A	0.369	0.0009	N/A
1 1 -2 0	prismatic_a	3	3 0 -3 2	6	-2 1 1 0	0 3 -3 -2	120.0	42.5	-0.368703858	19.832990193110064	N/A	N/A	0.369	0.0009	N/A
1 1 -2 0	pyramidalIV	1	a+c	1	1 1 -2 2	-1 -1 2 3	32.0	122.0	-0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
1 1 -2 0	pyramidalIV	2	a+c	2	1 1 -2 -2	-1 -1 2 -3	32.0	122.0	-0.44943820224179776	6.132087735836792	1380.2	0.6	0.449	0.0120	0.000009
1 1 -2 0	pyramidalIV	3	b	1	1 -2 1 2	-1 0 1 0	115.1	150.0	0.3671940368216576	5.629165124598851	2626.0	-0.2	0.367	0.0116	0.000004
